THE KEY TO MEDICINE AND A GUIDE FOR STUDENTS,مفتاح الطب ومنهاج الطلاب
On the categories of pulse,ذكر أجناس النبض
"These are ten in number. However, in order to discuss them we must first explain what is meant by the terms long, broad and elevated (shahiq) in relation to pulse. We shall then proceed to enumerate the ten types of pulse.","وهى عشرة. وينبغي أن تقدّم أولًا تفسير النبض الطويل والعريض والشاهق، لحاجتنا إلى ذلك في تفسير تلك الأجناس العشرة، ثم نأخذ في ذكر الأجناس العشرة"
"followed by the remaining classifications. We say: If the pulse is taken lengthwise along the arm and feels greater than what is normal for good health, it is known as “long”.","ثمّ في ذكر الأنواع الباقية. فنقول: إذا تبين النبض للحسّ في طول الساعد أكثر مما كان في حال الصحة، سمي طويلًا "
"If the pulse is taken when the finger of the examiner is placed laterally across the arm, and it is found to be greater than the norm, it is called “broad”.","وإذا أخذ من إصبع الجاسّ في عرض الساعد أكثر مما كان في حال الصحة، سمي عريضًا. "
"If it pushes into the flesh of the finger to an extent greater than is normal for a healthy body, it is called “elevated”. In these same conditions, if the pulse is lower than the norm, the one opposite to the long would be known as “short”.","وإذا دافع لحم الإصبع، ودخل فيه إلى مسافة أكثر مما كان في حال الصحة، سمي شاهقًا. وإذا نقص في هذه الأحوال عن المعهود؛ سمي ضد الطويل قصيرًا"
"the one opposite to the “broad” would be known as “narrow”, and the one opposite to the elevated would be known as “low”. Now that we have explained these terms, we shall proceed to discuss the ten categories of pulse.","وضدّ العريض ضيّقًا، وضد الشاهق منخفضًا. فإذ قد فسرنا ذلك، فلنفسر الأجناس العشرة. "
"The first category: This one is based upon the size of the dilatation and is divided into the large pulse, the small pulse and the moderate between the two.","فالجنس الأول: هو المأخوذ من مقدار الانبساط، وهو منقسم إلى النبض العظيم والصّغير والمعتدل بين هاذين. "
"The large pulse is the one exceeding what is normal in a healthy condition, in terms of length, breadth and elevation. The small pulse is deficient in all three of these aspects, and the moderate is the one that prevails in a healthy condition.","فالعظيم: هو الزائد على ما كان في حال الصحة طولًا وعرضًا وشهوقًا، والصّغير: هو الناقص في هذه الثلاثة، والمعتدل: هو الثابت على حال الصّحة. "
"The second category is one based upon the speed of movement. It is divided into the rapid, the slow and the moderate between the two. The rapid one is that which completes its movement within a time below the norm.","والجنس الثاني: هو المأخوذ من زمان الحركة، وينقسم إلى السّريع والبطيء والمعتدل بينهما. فالسّريع ما استوفى حركته في زمان أقصر مما جرت العادة به. "
"while the slow one completes it in a longer period of time. The third is based on the level of force, and it is divided into the strong, the weak and the moderate.",والبطيء ما استوفاها في زمان أطول. والجنس الثالث: هو المأخوذ من مقدار القوة. وينقسم إلى القويّ والضعيف والمعتدل. 
"The strong pulse gives a violent push to the finger, puts up some resistance to it, and does not cease pulsing when pressed. This is similar to the pulse in healthy people, which can be very rapid, muted, slow, and so on.","فالقويّ: ما دفع الإصبع بعنف، وصابر الغمز عليه، ولم يبطل عند ما يغمز. كنبض الأصحّاء. مثل: النبض الشديد السّرعة، والنبض الخفي البطيء وما أشبه ذلك. "
"For this reason, I do not wish to discuss all or even most of what has been described about the pulse, as I did when discussing other subjects. The fourth category is based upon the hardness and softness of the blood-vessel itself.",ولذلك لم أحبّ أنْ أتبع جميع ما وصفوه في أمر النبض أو أكثره كما تتبّعت ذلك في غيره من الأبواب. والجنس الرابع: هو المأخوذ من مقدار صلابة جرم العِرق ولينه. 
"which can be hard, soft or moderate. The hard sort is the one which when touched by the finger feels like a very taut thread or string.",وينقسم إلى الصلب واللّين والمعتدل. والصّلب: هو الذي يكون ما يلقى الإصبع منه عند قرعه إيّاها شبيهًا بما يلقاها من الخيط والوتر الممدودين مدًّا شديدًا. 
The soft sort is the one which feels like a string that is not stretched. This can also be described as “loose”.,"واللّيّن: هو الذي يكون ما يلقى الإصبع منه شبيهًا بما يلقاها من الخيط والوتر إذا لم يشتدّ مدّهما، وقد يعبّر عن الليّن بالرّخو. "
"The fifth category is based upon the volume of what has flowed into the cavity of the blood-vessel, and it is divided into full, empty and moderate.","الجنس الخامس: هو مأخوذ من مقدار ما هو مصبوب في تجويف العروق، وينقسم إلى الممتلئ والخاوي والمعتدل. "
The full type is analogous to the sensation when a finger presses a full water skin.,فالممتلئ: هو الذي يلقى الإصبع من جرمه عند الغمز عليه شبيه ما في النّفس من صورة الرّكوة الممتلئة. 
"The empty (al-khawi) type, or al-khali (a synonym of al-khawi), as it is sometimes called, is the sensation of a finger touching a water skin that is not full but, instead, collapsed.","والخاوي وقد يقال الخالي: هو الذي يلقى الإصبع منه شبيه بما في النّفس من صورة الركوة التي ليست بممتدة ولا ممتلئة، لكنّها منقبضة. "
"The sixth category of pulse is based upon the heat of the blood-vessel, and this can be hot, cold or moderate.",والجنس السادس: هو المأخوذ من كيفيّة حرارة جرم العرق. وينقسم إلى الحارّ والبارد والمعتدل. 
Physicians count this as a category of pulse because the heat at the artery of pulse-taking can sometimes be higher than the temperature in the rest of the body.,"وإنمّا عدّهُ الأطباء ذلك في أجناس النبض، لأنّه ربما ظهرت للجسّ في المكان الذي فيه الشريان حرارة زائدة على ما يظهر في سائر البدن. "
"When the heat at that point exceeds what is considered healthy, it is called “a hot pulse” and when it is less it is called “a cold pulse”. The seventh category is determined by the duration of the pause between the two beats.","فمتى زادت هذه الحرارة، على ما كان في الصحة، قيل: نبض حارّ. ومتى نقصت، قيل: نبض بارد. والجنس السابع: هو المأخوذ من زمان السّكون ما بين النّبضتين."
"which can be short, long or moderate. If the period between the two beats is shorter than the norm for a healthy body, it is called short paused (mutawatir or mutadarik).","وينقسم إلى المتواتر والمتفاوت والمعتدل. فإذا كان ما بين النّبضتين من الزّمان أصغر مما جرت العادة في حال الصحة، سمي متواترًا أو متداركًا. "
"and if the period is longer, it is known as long-paused (or lapsing, mutafawit). The eighth category is based on the rhythm of movements and intervals; it is divided into good and bad rhythms. I mean by rhythm (wazn) the ratio between the period of pulse movement and the period of pause.","وإذا كان ذلك الزّمان أطول، سمي متفاوتًا. وينقسم إلى الحسن الوزن والسيئ الوزن. وأعني بالوزن: نسبة زمان حركة النبض إلى زمان سكونه. "
"It must be remembered that pulse has two periods: One is the period of movement, which begins when the movement of the artery is felt by the finger and ends when this movement ceases and disappears.",وبيان ذلك أنّ للنبض زمانين: أحدهما: زمان الحركة وهو من حين تظهر حركة الشريان للجسّ إلى حين تسكن تلك الحركة وتختفي. 
"The second is the period of pause which starts from the moment the movement disappears until I it starts again. There is a specific ratio between these two periods, depending on the age of the person.","والثاني: زمان السكون، وهو من حين تختفي تلك الحركة إلى أن تعود ثانية. ولكلّ واحد من هاذين الزمانين إلى الأخر نسبة ما يخصّه في كل واحد من الأسنان. "
"When the pulse at a certain age conforms to the relevant proportion for that age, its rhythm is said to be correct or good.","فإذا كان النبض في سن من الأسنان حافظًا للنسبة التي تخصّ تلك السنّ، قيل أنه ذو وزن ومستقيم الوزن وحسن الوزن. "
"and if it deviates from this ratio, the rhythm is described as bad or imbalanced. This rhythm has several sub-categories: If a boy’s pulse is nearer to a young man’s, it is said to deviate from the norm.","وإذا خرج عن تلك النسبة، قيل سيئ الوزن وعديم الوزن. وينقسم ذلك أقسامًا. فإنّه إن خرج نبض الغلام إلى نبض الشباب قيل، خرج عن الوزن. "
"If the young man’s pulse is nearer to that of an adult or an old man, it is said to be outside the [normal] rhythm, and it is the same if the pulse of an old man resembles that of a boy.","وإنْ خرج نبض الغلام إلى نبض الكهل أو الشّيخ، قيل أنّه مجانب للوزن. وكذلك، إذا خرج نبض الشّيخ، إلى نبض الغلام. "
"If the pulse does not conform to that of any age, the rhythm is said to be unusual (baid al-wazn).","وإنْ كان النّبض غير شبيه بنبض شيء من الأسنان، قيل بعيد الوزن. "
"The ninth category of pulse is based on the state of a single pulse with regard to similarities or differences between its parts, or the state of many pulses, with regard to similarities or differences between them.",الجنس التاسع: هو المأخوذ من حال النبضة الواحدة في تشابه أبعاضها واختلافها أو من حال النبضات الكثيرة في مشابهة بعضها ومخالفة بعضها لبعض. 
"This type is divided into balanced and imbalanced pulse. The pulse is considered balanced if all its parts are similar in size, frequency, power or other qualities.","وينقسم هذا إلى المستوي والمختلف. فالنبض المستوي: هو أن تتشابه أبعاض النبضة الواحدة في العِظَم، أو السرعة ، أو القوة، أو غير ذلك. "
or whose various pulses are similar with regard to these qualities. The imbalanced pulse is when the parts of a pulse differ in size.,أو أن تشابه النبضات بعضها في بعض تلك الأوصاف. والمختلف: هو أن تختلف النبضة الواحدة حتّى تكون بعضها أعظم من بعض
"frequency or strength, or when the pulses themselves differ from each other so that one is strong and the other is weak, or one is fast and the other slow.","أو بعضها أسرع من بعض، أو بعضها أقوى من بعض، أو تختلف النبضات، فتكون نبضة قوية، وأخرى ضعيفة، أو نبضة سريعة، وأخرى بطيئة. "
"The tenth classification of pulse is based upon the alternation of the pulsations, and it is divided into the regular and the irregular. It is called regular if it maintains the difference in pulsations over one cycle without deviation.",والجنس العاشر: هو المأخوذ من أدوار النّبضات وتنقسم إلى المنتظم والخارج عن النظام. فالمنتظم: أن يحفظ الاختلاف في النبضات دورًا واحدًا لا يزول عنه. 
"An example is three equal beats followed by one variant beat, recurring regularly. If the cycle is not maintained, the pulse is called irregular. These are the categories of pulses.","مثل: أن يقع بين كل ثلاث نبضات متساوية نبضة واحدة مخالفة لها، ثمّ تدور على هذا المثال. فإذا كان لا يحفظ الدور سمي غير منتظم. فهذه أجناس النبض. "
"Of these categories, there is one group where the two extremes have an intermediate, which is the moderate. An example is the short-paused and the long-paused, between which there is the moderate. There is another group in these categories which cannot have an intermediate.","ومنها ما بين المتضادين فيه وسط هو المعتدل، كالمتواتر والمتفاوت الذي بينهما شيء معتدل. ومنها ما لا يمكن أن يكون له واسطة"
"examples being the regular and the irregular, and the balanced and the imbalanced. Know that, in the case where there is an intermediate or moderate, the intermediate, not the two extremes, is the healthy one, an example being the moderate between the long-paused and the short-paused.","كالمنتظم وغير المنتظم، وكالمستوي والمختلف. واعلم أنّ الذي يقع فيه وسط واعتدال، فلذلك الوسط هو الصحي دون الطرفين، كالمعتدل بين المتفاوت والمتواتر"
"This rule, however, does not apply to the category based on the amount of force. The strong pulse is the healthy one, for when a person’s pulse is stronger, his health is better, while the moderate and the weak are unhealthy.","إلّا الجنس المأخوذ من مقدار القوة. فإنّ القوي هو الصحي، إذْ كانت القوة كلمّا كانت أشدّ، فالصحة أوثق. فأما المعتدل والضعيف فمرضيّان. "
"In the case of the two opposites that have no intermediate between them, one is healthy and the other is unhealthy that is, the regular is healthy and the irregular is not.","والمتضادان اللذان لا وسط بينهما، فأحدهما صحّي، والآخر مرضيّ. فإنّ المنتظم صحّيّ وغير المنتظم مرضي. "
"These are the major categories of pulse, and now we shall mention some of the sub-divisions appropriate for our book. One variety is the ghazali (like a gazelle), where the blood-vessel beats under the pulse-taker’s finger, then beats a second time, without giving evidence of its recurrence or pause.","فهذه هى أجناس النّبض، ونحن نذكر من أنواعها ما يليق بكتابنا هذا. فمنها الغزالي، وهو أن يقرعك العِرق، ثم يقرعك قرعة ثانية من غير أن تحسّ برجوعه وسكونه"
"and where the second beat is stronger than the first. It has been given the name “gazelle-like” because the gazelle sometimes, during a jump, makes another greater jump before landing on the ground.","وتكون القرعة الثانية أعظم من الأولى. وسمي غزاليًا، لآنّ الغزال ربما وثب في أثناء وثبته وثبة أخرى أعظم من الأولى قبل أن يستقر على الأرض. "
"Another variety is known as mitraqi (hammer-like) or “the one with two beats”. This occurs when the blood-vessel under the pulse-taker’s finger makes a beat but its pause cannot be detected until the second beat, which is fainter than the first one.","ومنها المطرقي وذو القرعتين، وهو أن يقرعك العِرق، ثمّ لا تحسّ لسكونه، حتى يقرعك قرعة ثانية أضعف عن الأولى. "
"This is similar to a hammer when it falls on the anvil, because its blows recur, the last one being the weakest. Another type is dhanab al-fara (the mouse’s tail), which comprises two sorts.","وذلك شبيه بحال المطرقة إذا وقعت على السّندان، لأنّ قرعها يتكرر، وتكون القرعة الأخيرة أضعف. ومنها ذنب الفأرة وهو نوعان"
"One is when the diminution occurs during one beat, and the other sort when the change occurs over the course of several beats.",أحدهما: أن يختلف في نبضة واحدة والآخر أن يختلف في عدة نبضات. 
"In the case where the change occurs during one beat, the single pulse diminishes gradually along the length of the blood-vessel. At a given position, the pulse has a strength which.","فالمختلف في نبضة واحدة: هو أن تتناقص النبضة الواحدة في طول العِرق أولًا وأولًا، فيكون له في موضع من طول العِرق وعظم ما "
"at subsequent points, gets lower and lower gradually and proportionately until it disappears.","ثم يكون في الذي يتلوه أصغر، ثمّ لا يزال يصغر قليلًا قليلًا على مناسبة، وتدريج إلى أن يختفي. "
"In the case where the diminution occurs over the course of several beats, a beat has a certain level of strength and is then followed by a weaker and yet another weaker pulse, and so on, until one of the following three possibilities occurs.","والمختلف في نبضات عدة أن تكون نبضة لها مقدارٌ ما من العِظم، ثم تليها أخرى أصغر منها، ثمّ أخرى أصغر، وعلى هذا يكون مصير ذلك إلى إحدى ثلاث"
"Either at a certain beat the change stops, without decreasing further, and is then known as “a fixed tail” (dhanab thdbit). Or, it continues to decrease until it disappears completely, in which case it is known as an “expired tail” (dhanab mutaqaddi).","إمّا أن يقف عند نبضة ما، فلا يصير على أصغر منها، فيسمى ذنبًا ثابتًا. وإما أنْ لا يزال يصغر حتى يختفي البتّة، فيسمى ذنبًا متقضيًا. "
"Or, as it reaches a given low level, it reverts and starts to increase. If it reaches its starting level, it is known as “a tail with a full recovery” (dhanab tamm al-ruju), and if it returns to a lower level, it is known as “a tail with a deficient recovery” (dhanab naqis al-ruju).","وأما إذا بلغ مقدارًا ما من الصغر، عاود فجعل يزداد. فإنْ رجع إلى مقداره الأوّل سمي ذنبًا تامّ الرجوع، وإن رجع إلى ما دونه سمي ذنبًا ناقص الرجوع. "
"Another type of pulse is al-mawjiyy (wave-like). This fills a large part of the width of the finger, being soft and full, but without much rising or pushing. The upward movement recurs repeatedly.","ومنها الموجيّ: وهو الذي يأخذ من عرض الإصبع مكانًا كثيرًا مع لين وامتلاء، إلّا أنه ليس له شهوق كثيرة، ولا مدافعة، وكان شهوقه يحلّ مرة بعد مرة"
"similar to successive waves of the sea. Another variety of pulse is al-dodi (worm-like), which is neither wide nor full, and its wavy movement is weak so that it is similar to a worm creeping along in the cavity of the blood-vessel.","حتّى كأنّه أمواج يتلو بعضها بعضًا. ومنها الدوديّ، غير أنه ليس بعريض ولا ممتلئ. وتموّجه تموّج ضعيف، وكأنّه دود يدّب في تجويف العِرق. "
"Another variety of pulse is al-namli (ant-like). This is so extremely small, with very short pauses, that it resembles the pulse of a new-born baby. It is like an ant crawling along inside the vessel.","ومنها النمليّ: وهو في غاية الصّغر والتواتر، حتى يشبه نبض الأطفال القريبي العهد بالولادة، وكأنّه نملة تدبّ في تجويف العرق. "
Another is al-minshari (saw-like). This is a hard pulse with variation in its beat and its upward thrust so that the beats and pulsations are felt on some fingers and not on others.,"ومنها المنشاري: وهو نبض صلب، وفي قرعه وشهوقه اختلاف، حتّى كأنه يقرع بعض الأصابع في حال نزوله عن بعض وينزل عن بعض الأصابع في حال قرعه لبعض"
"Their impact is comparable to the teeth of a saw that is moved across a piece of wood. Another is al-murta'id(the trembler), whose state is similar to trembling. Another is al-multawl (the twisted one), which is similar to a string that twists and turns.",كهيئة أسنان المنشار إذا مرت على الخشبة. ومنها المرتعد: وهو الذي حاله شبيهة بالرعد. ومنها الملتوي: هو كالخيط الذي يلوى ويفتل. 
"From each one of these types and varieties the physician may learn symptoms and prognostications. The subject of pulse is like a turbulent sea, being the strangest and most obscure field of medicine.","والطبيب: يستفيد من كل جنس وكلّ نوع دلالة وأمارة. وبحر علم النبض عجاج لا يكاد يستغرق لإتساع أقطاره، وهو أعجب أجزاء الطبّ وأغمضها. "
Section Seven: On that which exudes from the body.,الفصل السابع: فيما يبرز من البدن.
"Since the human body’s intake of food is not all either transformed or completely used up by the body’s natural processes, it necessarily follows that there would be residues which.","لمّا كان الغذاء الوارد في بدن الإنسان لا يستحيل بالكليّة، ولا تستولى الطبيعة على جميعه؛ وجب أن يكون له فضول"
"if discharged normally, are a cause of good health but, if retained, are a cause of illness. That is why nature has provided the body with expulsive faculties and arranged channels through which the waste can be expelled.","متى خرجت على ما ينبغي، كانت سببًا للصّحّة، ومتى احتبست، كانت سببًا للمرض. ولذلك جعلت الطبيعة في البدن قوى دافعة، وأعدّت مجاري فيها يكون اندفاعها. "
"These excreta, in the male, are ten: urine, faeces, semen, sweat, mucus, spittle, hair, finger nails, earwax, and white discharge from the eyes.","وهى في الذكور عشرة: البول، والبراز، والمني، والعَرق، والمخاط، والنّفث، والشّعر، والظّفر، ووسخ الأذنين، ورمص العين. "
"In females, two others are added to these ten: milk and menstrual blood.","ويضاف في الإناث على هذه العشرة فضلان آخران، هما اللبن ودم الطمث."
"From all these, a physician gleans indications which help him find ways to maintain good health and to cure illness.",والطبيب يستفيد من جميعها علامات يتطرق بها إلى ما يحتاج إليه في حفظ الصحة وشفاء المرض.
"This is because, from waste matter, one can deduce the state of the various faculties involved in their production, As well as the conditions of their outlets and channels. Here, we shall discuss as much of this subject as is compatible with this treatise of ours.","لأنها تدل على القوى التي تفعل فيها، وعلى أحوال مخارجها ومجاريها. ونحن نشير من ذلك إلى القدر الذي هو من شرط مقالتنا هذه. "
On the subject of urine,في ذكر البول
"Urine tells us about the condition of the blood, because it is derived from it, in the same way as pulse tells us about the condition of the heart because it originates from the heart. When food, drink and cooked foodstuffs enter the stomach.","إنّ البول يدل على حال الدمّ، لأنّه ينفصل من الدمّ، كما يدلّ النبض على حال القلب، إذ كان ينبعث من القلب. وذاك أنّ الطعام والشراب، وطبخهما إذا ورد المعدة"
"they are enveloped by it, then mashed, until they become like barley water, which is known by physicians as chyle. From the stomach, they go to the intestine known as the duodenum.","اشتملت عليهما، وطحنتهما، ثمّ أنهما يصيران بمنزلة ماء الشعير الذي يسميه الأطباء ""الكيلوس"". ثمّ إنهما يصيران من هناك إلى المعي الاثنى عشري"
The liver sucks up the chyle from the stomach and from the said intestine by means of the mesentery (the mesenteric veins) in the same way as nutrition is absorbed from the ground by the roots of trees.,"ويمتصهما الكبد، من المعدة والمعي المذكوران بالماساريقا، كإمتصاص عروق الشجر غذاءها من الأرض. "
"When [nutrition] flows through the blood-vessels in the liver (the mesenteric veins), it becomes transformed and the liver “cooks” [produces] blood. The gall bladder draws away the froth of the blood that is, the yellow bile.","فإذا صار في العروق التي في لحم الكبد، حصل منها بالاستحالة وطبخ الكبد دم. فجذبت المرارة رغوة ذلك الدمّ، وهى الصفراء"
"and the spleen takes its turbid part and the dregs that is, the black bile and the two kidneys take the thin liquid. This leaves the pure undiluted blood for the nutrition of the body, while evacuating the thin liquid, known as urine.","والطحال عكره وثفله، وهو السوداء، والكليتان مائيته الرقيقة، فبقى الدمّ الخالص والصرف في غذاء البدن، وخرجت تلك الرقيقة إلى خارج، فسميت بولًا. "
"Thus, urine is like a messenger from the blood with news of its condition, because it formed part of it prior to its separation.","وكانت كالرسول القادم من جهة الدمّ على أحواله بإتصالها، كان به، وانفصالها الآن عنه. "
"In addition, urine forms a guide to the conditions of all the channels through which it flowed. The physician examines urine for its colour, consistency, smell, froth and sediment, and sometimes needs to examine its feel and sound.","وهى تدل مع ذلك على أحوال جميع المجاري التي تسلك فيها، ويتفقد الطبيب من البول لونه وقوامه ورائحته وزبده ورسوبه، وربما احتاج إلى تفقد ملمسه وصوته."
"Urine consistency can be thin, thick, or midway between. The thin sort has two sub-divisions: Either it comes out thin and remains thin, Or, the urine thickens after its initial thinness.",فقواماته ثلاث: رقيق وثخين ومعتدل بينهما. والرقيق قسمان: إمّا أن يخرج رقيقًا ويبقى على رقته. وإمّا يثخن بعد أن خرج رقيقًا. 
"Similarly, thick urine also has two sub-divisions: Either it comes out thick and remains thick, Or, it thickens after being thin.",وكذلك الثّخين قسمان: إمّا أن يخرج ثخينًا ويبقى على ثخنه. وإمّا أنْ يثخن بعد رقته. وأمّا ألوان البول فثمانية: أولها: الأبيض الذي لم ينصبغ أصلًا. 
"As for urine colours, they are eight in number:",
"The first is white, without any initial colouring.",
"The second is pale yellow, having had some colouring. The third is yellow, known as al-utrujji (citrus coloured). The fourth is al-ndri (flame-like), which is like the colour of fire.",والثاني: الأشقر وهو الذي قبل صبغًا يسيرًا. والثالث: الأصفر الذي يسمى الأترجّي. والرابع: الناريّ الذي في لون النار. 
"The fifth colour is reddish, like the colour of saffron. The sixth is deep red with a black hue, like the colour of blood. The seventh colour is black.","والخامس: الأحمر الذي في لون الزعفران. السادس: الأحمر القاني، وهو المائل إلى السواد في لون الدم. والسابع: الأسود. "
"The eighth colour is a mixture of the above, with no dominant colour. As for the sediment, it generally acquires the qualities of all other constituents in the urine.","والثامن: المعتدل بين هذه الألوان، لا يغلب عليه واحد منها. وأمّا الرسوب، وهو بالجملة يقع على جميع ما يظهر من الأجرام في البول"
"It is thus classified according to its position in the urine bottle and its consistency, colour, and time of appearance. With regard to its classification according to its position in the urine bottle, the sediment that floats at the top of the receptacle is called al-ghamam (the cloud), or al-ghamfoni (cloudy).","فينقسم مكانه بحسب مكانه من القارورة وقوامه ولونه وأوقات ظهوره. فأمّا انقسامه بحسب مكانه: فإنّ الرسوب الذي يطفو على القارورة ويسمى الغمامة، والغمامي. "
"and the sediment that settles in the middle is known as al-mutallaq (the suspension), and that which settles at the bottom is the one which is generally referred to as sediment. With regard to its classification according to consistency: one is urine which is well-mixed and smooth.",والذي يتعلق في وسطها يسمى المتعلّق. والذي في أسفلها يسمى الرسوب على الإطلاق. وأمّا انقسامه بحسب قوامه: فمنه متصل الأجزاء أملس
"another is separated and streaky, another is sheet-like, and another resembles bran or crushed barley. Also, one type is granular, resembling crushed shelled lentils; another sand-like, which can be red-coloured or grey.","ومنه منقطع ذو تضريس، ومنه كالصفائح، ومنه الشبيه بالنّخالة، أو بجريش السويق. ومنه المحبّب كفتات العدس المقشّر، ومنه الرمليّ. وهذا إمّا أحمر. وإمّا رمادي اللون."
"and another hair-like, which is similar to white hair that is not completely white and which can vary in length between a filr (span between thumb and index finger) and a shibr (span between thumb and tip of little finger).","ومنه شعريّ. وهو جسم يشبه الشعر الأبيض الذي ليس بخالص البياض، فيكون طوله من فتر إلى شبر. وأما ألوان الرسوب، فالأبيض والأصفر والأحمر والأسود. "
"As for the colour of the sediment, it can be white, yellow, red or black.",
"With regard to the smell of urine, it can be sharp and strongly putrid, or it can have no smell at all, or be midway between the two. Urine can be oily, resembling olive oil, either solely with regard to its colour or with regard to its consistency as well as colour.","وأمّا رائحة البول، فإمّا حادّةٌ شديدة النتن وإما معدمة أصلًا، وإمّا معتدلة بين هاتين. وقد يكون البول زيتيًّا يشبه الزيت، إمّا في لونه فقط، وإمّا في لونه وقوامه. "
"It can also look like chaff. As for the remaining excretions, one can deduce from them things that are specific to one or applicable to all. But there is no room to discuss them here given the limitations we have set for this treatise.","وقد يكون تبنيًا يشبه التبن. وتلك الفضول الباقية يتفقد من أحوالها أشياء يخصّ واحدًا منها، وأشياء تعمّ جميعًا، ولا مساغ لذكرها مع الشرط الذي اشترطنا. "
Section Eight: On the basic rules of medicines and foodstuffs,الفصل الثامن: في قوانين الأدوية والأغذية
"Food, when ingested, is subdued by the body, which transforms it and moulds it into its own form. Bread, for example, is transformed into chyle, then into blood, and then into flesh, bones, and other parts of the body.","الغذاء: هو ما استحوذ عليه البدن، فأحاله إلى طبعه، كالخبز. فإنّ البدن جعله كيلوسًا، ثمّ دمًا، ثمّ لحمًا، وعظمًا، وغير ذلك من أعضائه. "
"Medicine, however, subdues the body, giving it its qualities. Scammony, for example, is a hot substance that overcomes the body’s innate heat and raises the heat of the body to its own level. Between these two, we find medicinal food and nutritive medicine.","والدواء: هو ما استحوذ على البدن، فأحاله إلى طبعه، كالسقمونيا. فإنّها حارّة تغلب قوة البدن، ويحيله إلى حرارتها. وفيما بين هاذين غذاء دوائي، ودواء غذائي."
"Medicinal food is transformed by the body, which makes use of its nutritive features, and yet itself transforms the body through its medicinal properties. Examples are: turnip (al-shaljam) garlic, onion and wine.","فالغذاء الدوائي: هو الذي يحيله البدن بما فيه من طبع الغذاء، ويحيل البدن بما فيه من طبع الدواء، غير أنّ طبع الغذاء عليه أغلب، كالشّلجم والثوم والبصل والنبيذ. "
"Nutritive medicine is similar, but its medicinal aspect is dominant. Examples are cumin and caraway seed. Both nutritive and medicinal substances can be either simple or compound.","والدواء الغذائي هذه سبيله، إلّا أن طبع الدواءِ فيه أغلب كالكمون والكرويا. وكلّ واحد من الغذاء والدواء إمّا مفرد وإمّا مركب. "
"The simple type is that which is not mixed with something else, although it can have various properties. For example, cumin is a simple substance, with one [major] natural attribute, I mean that it is hot, [as well as] dry and mild.","فالمفرد: هو الذي لم يخالطه بالصّنعة شئ غيره، وإن كان مركبًا من طبائع مختلفة. فإنّ الكمون مفرد، وهو طبيعة واحدة، أعني أنّه حار يابس لطيف. "
"Radish is also a single substance, but it possesses diverse natural attributes, for it is earthy and fiery earthy because it is heavy and dirty, and fiery because it is spicy.","والفجل مفرد، وإنْ كان مركبًا من طبائع مختلفة، لأنّ فيه أرضيّة ونارية. وأما الأرضية فلثقله ووخامته. وأمّا النارية فلحرافته. "
"A compound is a mixture of substances. An example is the tablets composed of scammony, aloes and wormwood.","والمركب: هو الذي خلطت الصنعة به غيره كالحبّ المتّخذ من السّقمونيا، والصّبر والأفسنتين. "
"When we say that a nutritive or medicinal substance is moderate we mean that it mixes into the body without having a perceptible effect of heat or cold, or moisture or dryness.","وإذا قلنا في الغذاء والدّواءِ أنه معتدل، فالمراد أنه يتشّبه بالبدن من غير أن يؤثر فيه تأثيرًا يبين للحسّ من حرارة أو برودة، أو رطوبة، أو يبوسة. "
"When we say that a substance is hot or cold, humid or dry, we mean that it has an effect on the body of heat or cold, or of moisture or dryness.","وإذا قلنا فيه أنّه حار أو بارد أو رطب أو يابس، فالمراد أنه يحدث في البدن الحرارة أو البرودة أو الرطوبة أو اليبوسة "
"regardless of whether these qualities actually exist in the medicinal and nutritive substance or not. To illustrate: we say that sulphur is hot even if it is chilled on ice, because it warms the body, whether ingested or applied topically.","سواء كانت هذه الكيفيّات موجودة بالفعل في الدواء والغذاء، أو لم يكن. وذلك إنّا نقول: الكبريت حارّ، وإن بردناه على الثلج، لأنه يحمي البدن، متى ورد، أو لاقاه. "
"We say that camphor is cold, even when heated by fire, because it cools the body. Know that when food is ingested it has an initial effect on the body, and then the body absorbs it.","ونقول: الكافور بارد، وإنْ أحمى على النار، لأنه يبرد البدن. واعلم أنّ الغذاء إذا ورد البدن، أثرّ أولًا في البدن، ثم استحوذ عليه البدن"
"For example sawiq (barley mush) and sugar are coolants. When they are ingested, they initially cool the body because of their cooling properties. Then the body heats them, transforms them into its own constitution, and is nourished by them.","كالسّويق والسكر المبردين؛ فإنهما إذا وردا البدن، برداه أولًا بما فيهما من البرودة بالفعل، ثمّ أنّ البدن يحميهما، ويحملهما إلى طبعه، ويغتذي بهما. "
"Medicine has the opposite effect: it is initially affected by the body, but later affects it. Pepper, which is hot, accepts the heat of the body when ingested.","والدواء على ضدّ هذه الحال، فإنّه يقبل أولًا التأثير من البدن. ثمّ يؤثر في البدن، فإنّ الفلفل، وهو حارّ، إذا ورد البدن، قَبِل الحرارة من البدن."
"but, when the heat of the body has warmed it further and it gets dissipated throughout the body, the pepper then warms the body and increases its heat. Nutritive and medicinal substances vary in the scale of their actions and their effects.","فإذا أحمته حرارة البدن، وفرّقت أجزاؤه؛ أخذ يسخّن البدن، ويلهب حرارته. وبين الأغذية والأدوية تفاوت في مقادير أفعالها وتأثيراتها. "
